FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
ɐbdɐχ,manc1252,abdaX,5,LEXICON
sogo,manc1252,sogo,4,LEXICON
soko,manc1252,soko,4,LEXICON
seŋen,manc1252,seNen,5,LEXICON
saŋan,manc1252,saNan,5,LEXICON
giriŋi,manc1252,giriNi,6,LEXICON
girɐŋe,manc1252,giraNe,6,LEXICON
ʃigiɐ,manc1252,Sigia,5,LEXICON
ʃɐn,manc1252,San,3,LEXICON
jɐt͡sə,manc1252,yac3,4,LEXICON
ovuro,manc1252,ovuro,5,LEXICON
vexə,manc1252,vex3,4,LEXICON
vəixə,manc1252,v3ix3,5,LEXICON
tugiɐn,manc1252,tugian,6,LEXICON
gɐlɐ,manc1252,gala,4,LEXICON
tuŋu,manc1252,tuNu,4,LEXICON
foχoŋ,manc1252,foXoN,5,LEXICON
sɐuvə,manc1252,sauv3,5,LEXICON
sov,manc1252,sov,3,LEXICON
dod͡ʒi,manc1252,doji,4,LEXICON
but͡ʃi,manc1252,buCi,4,LEXICON
but͡ʃe,manc1252,buCe,4,LEXICON
d͡ʒi,manc1252,ji,2,LEXICON
ʃun,manc1252,Sun,3,LEXICON
uʃʒgɐ,manc1252,uSZga,5,LEXICON
uʃkɐ,manc1252,uSka,4,LEXICON
mukə,manc1252,muk3,4,LEXICON
mugə,manc1252,mug3,4,LEXICON
vəxə,manc1252,v3x3,4,LEXICON
jɐxɐ,manc1252,yaxa,4,LEXICON
alin,manc1252,alin,4,LEXICON
dovure,manc1252,dovure,6,LEXICON
gəvu,manc1252,g3vu,4,LEXICON
govo,manc1252,govo,4,LEXICON
kiei,sout2774,kiei,4,LEXICON
gborije,sout2774,gboriye,7,LEXICON
mɐ̃ĩ,sout2774,mai,3,LEXICON
kõŋonu,sout2774,koNonu,6,LEXICON
ĩdi,sout2774,idi,3,LEXICON
obiri,sout2774,obiri,5,LEXICON
iku,sout2774,iku,3,LEXICON
tã,sout2774,ta,2,LEXICON
tãberi,sout2774,taberi,6,LEXICON
opurnɐ̃,sout2774,opurna,6,LEXICON
odujɐi,sout2774,oduyai,6,LEXICON
ĩmgbo,sout2774,imgbo,5,LEXICON
ipɐlu,sout2774,ipalu,5,LEXICON
beri,sout2774,beri,4,LEXICON
toru,sout2774,toru,4,LEXICON
nĩni,sout2774,nini,4,LEXICON
ɐkɐ,sout2774,aka,3,LEXICON
ijehajɐi,sout2774,iyehayai,8,LEXICON
ala,sout2774,ala,3,LEXICON
ĩmgbele,sout2774,imgbele,7,LEXICON
bɐrɐ,sout2774,bara,4,LEXICON
ĩdo,sout2774,ido,3,LEXICON
wɐ̃bɐje,sout2774,wabaye,6,LEXICON
bou,sout2774,bou,3,LEXICON
ari,sout2774,ari,3,LEXICON
nɐ̃ɐ,sout2774,naa,3,LEXICON
ha,sout2774,ha,2,LEXICON
bo,sout2774,bo,2,LEXICON
iwurɐ,sout2774,iwura,5,LEXICON
kuwei,sout2774,kuwei,5,LEXICON
mẽidi,sout2774,meidi,5,LEXICON
mẽdi,sout2774,medi,4,LEXICON
iputu,sout2774,iputu,5,LEXICON
hana,sout2774,hana,4,LEXICON
iteli,sout2774,iteli,5,LEXICON
hogijotudu,sout2774,hogiyotudu,10,LEXICON
nõĩ,sout2774,noi,3,LEXICON
bẽĩ,sout2774,bei,3,LEXICON
iwo,sout2774,iwo,3,LEXICON
ara,sout2774,ara,3,LEXICON
mi,bafa1247,mi,2,LEXICON
wə,bafa1247,w3,2,LEXICON
sə,bafa1247,s3,2,LEXICON
poʔ,bafa1247,po7,3,LEXICON
foʔ,bafa1247,fo7,3,LEXICON
ba,bafa1247,ba,2,LEXICON
moʔ,bafa1247,mo7,3,LEXICON
ʃue,bafa1247,Sue,3,LEXICON
mbwɐ,bafa1247,mbwa,4,LEXICON
ɲe,bafa1247,5e,2,LEXICON
a,bafa1247,a,1,LEXICON
ja,bafa1247,ya,2,LEXICON
go,bafa1247,go,2,LEXICON
ki,bafa1247,ki,2,LEXICON
fiʔ,bafa1247,fi7,3,LEXICON
toŋ,bafa1247,toN,3,LEXICON
tui,bafa1247,tui,3,LEXICON
iʔ,bafa1247,i7,2,LEXICON
dui,bafa1247,dui,3,LEXICON
soŋ,bafa1247,soN,3,LEXICON
jəm,bafa1247,y3m,3,LEXICON
boŋ,bafa1247,boN,3,LEXICON
ka,bafa1247,ka,2,LEXICON
be,bafa1247,be,2,LEXICON
ba,bafa1247,ba,2,LEXICON
mʷɐ,bafa1247,ma,2,LEXICON
min,bafa1247,min,3,LEXICON
woʔ,bafa1247,wo7,3,LEXICON
wɐ,bafa1247,wa,2,LEXICON
pɐʔ,bafa1247,pa7,3,LEXICON
dulu,bafa1247,dulu,4,LEXICON
titiʔ,bafa1247,titi7,5,LEXICON
deʔ,bafa1247,de7,3,LEXICON
la,bafa1247,la,2,LEXICON
mui,bafa1247,mui,3,LEXICON
paŋ,bafa1247,paN,3,LEXICON
ku,bafa1247,ku,2,LEXICON
du,bafa1247,du,2,LEXICON
lʷen,bafa1247,len,3,LEXICON
kono,bafa1247,kono,4,LEXICON
in,bafa1247,in,2,LEXICON
ŋhok,bafa1247,Nhok,4,LEXICON
moa,bafa1247,moa,3,LEXICON
bebɐ,bafa1247,beba,4,LEXICON
ɐhɐ̃e,bafa1247,ahae,4,LEXICON
ahɐŋe,bafa1247,ahaNe,5,LEXICON
ɐʃoe,bafa1247,aSoe,4,LEXICON
ɐt,bafa1247,at,2,LEXICON
ɐngiom,bafa1247,angiom,6,LEXICON
ndon,bafa1247,ndon,4,LEXICON
dnon,bafa1247,dnon,4,LEXICON
mpuɐ,bafa1247,mpua,4,LEXICON
bual,bafa1247,bual,4,LEXICON
hion,bafa1247,hion,4,LEXICON
giɐ,bafa1247,gia,3,LEXICON
giɐŋ,bafa1247,giaN,4,LEXICON
nkɐŋbual,bafa1247,nkaNbual,8,LEXICON
kop,bafa1247,kop,3,LEXICON
ki,bafa1247,ki,2,LEXICON
hei,bafa1247,hei,3,LEXICON
ki,bafa1247,ki,2,LEXICON
nlo,bafa1247,nlo,3,LEXICON
to,bafa1247,to,2,LEXICON
dek,bafa1247,dek,3,LEXICON
dio,bafa1247,dio,3,LEXICON
nʃol,bafa1247,nSol,4,LEXICON
ʃoŋ,bafa1247,SoN,3,LEXICON
egiam,bafa1247,egiam,5,LEXICON
mpuʃeko,bafa1247,mpuSeko,7,LEXICON
boŋdeko,bafa1247,boNdeko,7,LEXICON
mpuʃekɐ,bafa1247,mpuSeka,7,LEXICON
bom,bafa1247,bom,3,LEXICON
bum,bafa1247,bum,3,LEXICON
bol,bafa1247,bol,3,LEXICON
ba,bafa1247,ba,2,LEXICON
mmuaremedib,bafa1247,mmuaremedib,11,LEXICON
nderekotok,bafa1247,nderekotok,10,LEXICON
ntoŋe,bafa1247,ntoNe,5,LEXICON
ngue,bafa1247,ngue,4,LEXICON
nlume,bafa1247,nlume,5,LEXICON
nguari,bafa1247,nguari,6,LEXICON
ngukub,bafa1247,ngukub,6,LEXICON
mpari,bafa1247,mpari,5,LEXICON
mbawa,bafa1247,mbawa,5,LEXICON
tondiob,bafa1247,tondiob,7,LEXICON
ŋgon,bafa1247,Ngon,4,LEXICON
dib,bafa1247,dib,3,LEXICON
mpu,bafa1247,mpu,3,LEXICON
lɐ,bafa1247,la,2,LEXICON
nsa,bafa1247,nsa,3,LEXICON
metut,bafa1247,metut,5,LEXICON
metot,bafa1247,metot,5,LEXICON
mu,bafa1247,mu,2,LEXICON
ɐpowɐ,bafa1247,apowa,5,LEXICON
nkɐlɐ,bafa1247,nkala,5,LEXICON
lɐmɐk,bafa1247,lamak,5,LEXICON
alɐmɐ,bafa1247,alama,5,LEXICON
lɐmɐumot,bafa1247,lamaumot,8,LEXICON
ŋko,bafa1247,Nko,3,LEXICON
domu,bafa1247,domu,4,LEXICON
ɐhoniɐ,bafa1247,ahonia,6,LEXICON
ho,bafa1247,ho,2,LEXICON
